,cat__Mjob_at_home,cat__Mjob_health,cat__Mjob_other,cat__Mjob_services,cat__Mjob_teacher,cat__Fjob_at_home,cat__Fjob_health,cat__Fjob_other,cat__Fjob_services,cat__Fjob_teacher,cat__reason_course,cat__reason_home,cat__reason_other,cat__reason_reputation,cat__guardian_father,cat__guardian_mother,cat__guardian_other,num__age,num__Medu,num__Fedu,num__traveltime,num__studytime,num__failures,num__famrel,num__freetime,num__goout,num__Dalc,num__Walc,num__health,num__absences,num__G1,num__G2,sex_binary,G3
324,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.26193356697961917,-2.5107046897699647,-0.4974444157804886,0.7101607637400728,1.2473016208763203,-0.4543089130604204,-0.9947102593680328,-0.24921117675790969,-0.08783518929302088,0.5803125388918543,0.5152934145153948,-1.1150624407996153,-0.6889797691809925,0.7656414934887765,0.7775931859209531,0,1
184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5503547980358304,0.23185927214234484,-0.4974444157804886,-0.6604991718701374,0.00897339295594479,-0.4543089130604204,-3.156442791537931,-1.2460558837895486,-0.9857060131772324,-0.5476188747289328,-0.2661405547497096,-1.8274634446438138,0.9503169230082654,0.7656414934887765,0.7775931859209531,0,1
79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5503547980358304,0.23185927214234484,1.309064252053918,-0.6604991718701374,0.00897339295594479,-0.4543089130604204,-2.075576525452982,0.747633530273729,-0.08783518929302088,-0.5476188747289328,-0.2661405547497096,-0.4026614369554165,0.7161316812669428,-1.3060943124220306,-1.2860194997923453,0,0
346,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0742219319950688,1.1460472594464481,0.40580991813671474,-0.6604991718701374,1.2473016208763203,-0.4543089130604204,1.167022272801865,-0.24921117675790969,-0.9857060131772324,-0.5476188747289328,-0.2661405547497096,0.3097395668887821,0.364853818654959,0.7656414934887765,0.7775931859209531,1,1
299,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0742219319950688,1.1460472594464481,1.309064252053918,-0.6604991718701374,-1.2293548349644308,-0.4543089130604204,-3.156442791537931,0.747633530273729,-0.9857060131772324,0.5803125388918543,-0.2661405547497096,-1.8274634446438138,-0.1035166648276861,0.7656414934887765,0.7775931859209531,1,1
334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0742219319950688,-0.6823287151617584,-0.4974444157804886,0.7101607637400728,2.485629848796696,-0.4543089130604204,0.08615600671691613,0.747633530273729,0.8100356345911907,-0.5476188747289328,-1.047574524014814,0.3097395668887821,-0.6889797691809925,0.7656414934887765,-1.2860194997923453,0,0
108,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.36264316305128,1.1460472594464481,1.309064252053918,3.4514806349604927,2.485629848796696,-0.4543089130604204,-3.156442791537931,-0.24921117675790969,1.707906458475402,1.7082439525126414,2.0781613530456036,-1.8274634446438138,0.013575956042975176,0.7656414934887765,0.7775931859209531,1,1
215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.26193356697961917,0.23185927214234484,-0.4974444157804886,0.7101607637400728,0.00897339295594479,-0.4543089130604204,0.08615600671691613,0.747633530273729,0.8100356345911907,-0.5476188747289328,0.5152934145153948,-1.8274634446438138,-0.4547945274396699,0.7656414934887765,0.7775931859209531,0,1
158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5503547980358304,-0.6823287151617584,-0.4974444157804886,2.080820699350283,-1.2293548349644308,-0.4543089130604204,0.08615600671691613,-1.2460558837895486,-0.9857060131772324,-0.5476188747289328,-0.2661405547497096,-0.4026614369554165,-0.4547945274396699,0.7656414934887765,0.7775931859209531,1,1
46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5503547980358304,0.23185927214234484,0.40580991813671474,-0.6604991718701374,0.00897339295594479,-0.4543089130604204,-2.075576525452982,-0.24921117675790969,1.707906458475402,-0.5476188747289328,1.2967273837804991,-0.4026614369554165,0.7161316812669428,0.7656414934887765,0.7775931859209531,0,1
